id,title,title_slug,difficulty,likes,dislikes,ratio
127,Word Ladder,word-ladder,hard,9494,1744,5.443807339449541
142,Linked List Cycle II,linked-list-cycle-ii,medium,9477,666,14.22972972972973
416,Partition Equal Subset Sum,partition-equal-subset-sum,medium,9342,152,61.46052631578947
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,easy,9264,12851,0.7208777527040697
438,Find All Anagrams in a String,find-all-anagrams-in-a-string,medium,9170,284,32.2887323943662
91,Decode Ways,decode-ways,medium,9156,4131,2.216412490922295
153,Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,medium,9041,438,20.641552511415526
104,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,easy,9022,149,60.5503355704698
64,Minimum Path Sum,minimum-path-sum,medium,9008,117,76.99145299145299
7,Reverse Integer,reverse-integer,medium,9005,11099,0.8113343544463465
199,Binary Tree Right Side View,binary-tree-right-side-view,medium,8987,529,16.98865784499055
1036,Rotting Oranges,rotting-oranges,medium,8948,319,28.05015673981191
437,Path Sum III,path-sum-iii,medium,8925,428,20.852803738317757
1250,Longest Common Subsequence,longest-common-subsequence,medium,8853,102,86.79411764705883
768,Partition Labels,partition-labels,medium,8818,329,26.80243161094225
230,Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,medium,8784,155,56.670967741935485
51,N-Queens,n-queens,hard,8769,194,45.20103092783505
131,Palindrome Partitioning,palindrome-partitioning,medium,8717,274,31.813868613138688
148,Sort List,sort-list,medium,8671,269,32.234200743494426
739,Daily Temperatures,daily-temperatures,medium,8642,201,42.995024875621894
208,Implement Trie (Prefix Tree),implement-trie-prefix-tree,medium,8602,104,82.71153846153847
108,Convert Sorted Array to Binary Search Tree,convert-sorted-array-to-binary-search-tree,easy,8590,434,19.792626728110598
24,Swap Nodes in Pairs,swap-nodes-in-pairs,medium,8560,338,25.325443786982248
118,Pascal's Triangle,pascals-triangle,easy,8487,282,30.095744680851062
96,Unique Binary Search Trees,unique-binary-search-trees,medium,8441,335,25.197014925373136
378,Kth Smallest Element in a Sorted Matrix,kth-smallest-element-in-a-sorted-matrix,medium,8409,296,28.408783783783782
494,Target Sum,target-sum,medium,8394,302,27.794701986754966
647,Palindromic Substrings,palindromic-substrings,medium,8373,179,46.77653631284916
88,Merge Sorted Array,merge-sorted-array,easy,8351,743,11.23956931359354
235,Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,medium,8310,238,34.91596638655462
747,Min Cost Climbing Stairs,min-cost-climbing-stairs,easy,8306,1309,6.345301757066463
92,Reverse Linked List II,reverse-linked-list-ii,medium,8291,368,22.529891304347824
210,Course Schedule II,course-schedule-ii,medium,8271,273,30.296703296703296
209,Minimum Size Subarray Sum,minimum-size-subarray-sum,medium,8271,228,36.276315789473685
221,Maximal Square,maximal-square,medium,8266,178,46.438202247191015
695,Max Area of Island,max-area-of-island,medium,8247,182,45.31318681318681
167,Two Sum II - Input Array Is Sorted,two-sum-ii-input-array-is-sorted,medium,8222,1116,7.367383512544803
16,3Sum Closest,3sum-closest,medium,8202,451,18.186252771618626
18,4Sum,4sum,medium,8123,945,8.595767195767197
338,Counting Bits,counting-bits,easy,8074,381,21.191601049868765
297,Serialize and Deserialize Binary Tree,serialize-and-deserialize-binary-tree,hard,8067,296,27.25337837837838
13,Roman to Integer,roman-to-integer,easy,8060,475,16.96842105263158
268,Missing Number,missing-number,easy,8001,3007,2.660791486531427
116,Populating Next Right Pointers in Each Node,populating-next-right-pointers-in-each-node,medium,7946,270,29.42962962962963
212,Word Search II,word-search-ii,hard,7920,367,21.580381471389646
85,Maximal Rectangle,maximal-rectangle,hard,7892,127,62.14173228346457
9,Palindrome Number,palindrome-number,easy,7883,2356,3.345925297113752
162,Find Peak Element,find-peak-element,medium,7873,4110,1.9155717761557178
279,Perfect Squares,perfect-squares,medium,7788,339,22.97345132743363
110,Balanced Binary Tree,balanced-binary-tree,easy,7770,427,18.19672131147541
893,All Nodes Distance K in Binary Tree,all-nodes-distance-k-in-binary-tree,medium,7743,154,50.27922077922078
315,Count of Smaller Numbers After Self,count-of-smaller-numbers-after-self,hard,7684,208,36.94230769230769
621,Task Scheduler,task-scheduler,medium,7665,1511,5.072799470549305
448,Find All Numbers Disappeared in an Array,find-all-numbers-disappeared-in-an-array,easy,7657,414,18.495169082125603
442,Find All Duplicates in an Array,find-all-duplicates-in-an-array,medium,7641,292,26.16780821917808
103,Binary Tree Zigzag Level Order Traversal,binary-tree-zigzag-level-order-traversal,medium,7639,203,37.63054187192118
143,Reorder List,reorder-list,medium,7627,264,28.890151515151516
908,Middle of the Linked List,middle-of-the-linked-list,easy,7613,215,35.40930232558139
100,Same Tree,same-tree,easy,7608,161,47.254658385093165
567,Permutation in String,permutation-in-string,medium,7591,251,30.243027888446214
617,Merge Two Binary Trees,merge-two-binary-trees,easy,7550,265,28.49056603773585
242,Valid Anagram,valid-anagram,easy,7547,248,30.431451612903224
112,Path Sum,path-sum,easy,7461,895,8.336312849162011
329,Longest Increasing Path in a Matrix,longest-increasing-path-in-a-matrix,hard,7451,110,67.73636363636363
134,Gas Station,gas-station,medium,7395,689,10.732946298984034
217,Contains Duplicate,contains-duplicate,easy,7373,1058,6.968809073724008
202,Happy Number,happy-number,easy,7361,925,7.957837837837838
40,Combination Sum II,combination-sum-ii,medium,7328,179,40.93854748603352
123,Best Time to Buy and Sell Stock III,best-time-to-buy-and-sell-stock-iii,hard,7309,143,51.11188811188811
792,Binary Search,binary-search,easy,7265,156,46.57051282051282
213,House Robber II,house-robber-ii,medium,7248,106,68.37735849056604
120,Triangle,triangle,medium,7225,452,15.984513274336283
410,Split Array Largest Sum,split-array-largest-sum,hard,7173,163,44.00613496932515
337,House Robber III,house-robber-iii,medium,7166,107,66.97196261682242
312,Burst Balloons,burst-balloons,hard,7114,184,38.66304347826087
173,Binary Search Tree Iterator,binary-search-tree-iterator,medium,7048,427,16.505854800936767
133,Clone Graph,clone-graph,medium,7025,2890,2.430795847750865
90,Subsets II,subsets-ii,medium,7016,196,35.795918367346935
581,Shortest Unsorted Continuous Subarray,shortest-unsorted-continuous-subarray,medium,6993,245,28.542857142857144
387,First Unique Character in a String,first-unique-character-in-a-string,easy,6988,233,29.991416309012877
309,Best Time to Buy and Sell Stock with Cooldown,best-time-to-buy-and-sell-stock-with-cooldown,medium,6919,236,29.31779661016949
402,Remove K Digits,remove-k-digits,medium,6905,288,23.975694444444443
36,Valid Sudoku,valid-sudoku,medium,6905,817,8.451652386780905
82,Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,medium,6904,184,37.52173913043478
37,Sudoku Solver,sudoku-solver,hard,6899,187,36.893048128342244
1019,Squares of a Sorted Array,squares-of-a-sorted-array,easy,6836,173,39.51445086705202
1014,K Closest Points to Origin,k-closest-points-to-origin,medium,6836,249,27.453815261044177
222,Count Complete Tree Nodes,count-complete-tree-nodes,medium,6819,389,17.529562982005142
61,Rotate List,rotate-list,medium,6766,1320,5.125757575757576
47,Permutations II,permutations-ii,medium,6762,117,57.794871794871796
424,Longest Repeating Character Replacement,longest-repeating-character-replacement,medium,6724,261,25.762452107279692
399,Evaluate Division,evaluate-division,medium,6642,576,11.53125
450,Delete Node in a BST,delete-node-in-a-bst,medium,6607,171,38.63742690058479
540,Single Element in a Sorted Array,single-element-in-a-sorted-array,medium,6591,116,56.81896551724138
547,Number of Provinces,number-of-provinces,medium,6564,272,24.13235294117647
680,Valid Palindrome II,valid-palindrome-ii,easy,6549,336,19.491071428571427
516,Longest Palindromic Subsequence,longest-palindromic-subsequence,medium,6548,266,24.616541353383457
572,Subtree of Another Tree,subtree-of-another-tree,easy,6537,368,17.76358695652174
406,Queue Reconstruction by Height,queue-reconstruction-by-height,medium,6496,654,9.932721712538227
328,Odd Even Linked List,odd-even-linked-list,medium,6496,401,16.199501246882793
278,First Bad Version,first-bad-version,easy,6493,2482,2.6160354552780016
518,Coin Change II,coin-change-ii,medium,6481,119,54.46218487394958
344,Reverse String,reverse-string,easy,6478,1022,6.3385518590998045
692,Top K Frequent Words,top-k-frequent-words,medium,6475,301,21.511627906976745
113,Path Sum II,path-sum-ii,medium,6465,133,48.609022556390975
229,Majority Element II,majority-element-ii,medium,6383,318,20.072327044025158
658,Find K Closest Elements,find-k-closest-elements,medium,6379,519,12.290944123314066
99,Recover Binary Search Tree,recover-binary-search-tree,medium,6375,212,30.07075471698113
203,Remove Linked List Elements,remove-linked-list-elements,easy,6367,191,33.33507853403141
380,Insert Delete GetRandom O(1),insert-delete-getrandom-o1,medium,6314,328,19.25
57,Insert Interval,insert-interval,medium,6305,439,14.362186788154897
83,Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,easy,6281,219,28.680365296803654
392,Is Subsequence,is-subsequence,easy,6280,347,18.097982708933717
67,Add Binary,add-binary,easy,6278,664,9.454819277108435
63,Unique Paths II,unique-paths-ii,medium,6243,421,14.82897862232779
316,Remove Duplicate Letters,remove-duplicate-letters,medium,6242,402,15.527363184079602
253,Meeting Rooms II,meeting-rooms-ii,medium,6199,132,46.96212121212121
803,Cheapest Flights Within K Stops,cheapest-flights-within-k-stops,medium,6198,282,21.97872340425532
310,Minimum Height Trees,minimum-height-trees,medium,6197,266,23.296992481203006
50,"Pow(x, n)",powx-n,medium,6145,6616,0.9288089480048367
130,Surrounded Regions,surrounded-regions,medium,6133,1382,4.437771345875543
44,Wildcard Matching,wildcard-matching,hard,6120,261,23.448275862068964
179,Largest Number,largest-number,medium,6075,502,12.101593625498008
542,01 Matrix,01-matrix,medium,6032,296,20.37837837837838
